%time SoC_Batt I_Tot_Bus I_to_Batt Air Temp Meth Mic CPU RF
0 1 0 0 0 0 0 0 0 0
1 1 48.2 0 48.2 0 0 0 0 0
2 1 48.2 34.0412385238 48.2 0 0 0 0 0
3 0.998363401994 48.2 34.0412385238 48.2 0 0 0 0 0
4 0.996726803988 48.2 34.0412385238 48.2 0 0 0 0 0
5 0.995090205982 48.2 34.0412385238 48.2 0 0 0 0 0
6 0.993453607976 48.2 34.0412385238 48.2 0 0 0 0 0
7 0.99181700997 48.2 34.0412385238 48.2 0 0 0 0 0
8 0.990180411964 48.2 34.0412385238 48.2 0 0 0 0 0
9 0.988543813958 48.2 34.0412385238 48.2 0 0 0 0 0
10 0.986907215952 48.2 34.0412385238 48.2 0 0 0 0 0
11 0.985270617946 48.2 34.0412385238 48.2 0 0 0 0 0
12 0.98363401994 48.2 34.0412385238 48.2 0 0 0 0 0
13 0.981997421935 48.2 34.0412385238 48.2 0 0 0 0 0
14 0.980360823929 48.2 34.0412385238 48.2 0 0 0 0 0
15 0.978724225923 48.2 34.0412385238 48.2 0 0 0 0 0
16 0.977087627917 48.2 34.0412385238 48.2 0 0 0 0 0
17 0.975451029911 48.2 34.0412385238 48.2 0 0 0 0 0
18 0.973814431905 48.2 34.0412385238 48.2 0 0 0 0 0
19 0.972177833899 48.2 34.0412385238 48.2 0 0 0 0 0
20 0.970541235893 48.2 34.0412385238 48.2 0 0 0 0 0
21 0.968904637887 48.2 34.0412385238 48.2 0 0 0 0 0
22 0.967268039881 48.2 34.0412385238 48.2 0 0 0 0 0
23 0.965631441875 48.2 34.0412385238 48.2 0 0 0 0 0
24 0.963994843869 48.2 34.0412385238 48.2 0 0 0 0 0
25 0.962358245863 48.2 34.0412385238 48.2 0 0 0 0 0
26 0.960721647857 48.2 34.0412385238 48.2 0 0 0 0 0
27 0.959085049851 48.2 34.0412385238 48.2 0 0 0 0 0
28 0.957448451845 48.2 34.0412385238 48.2 0 0 0 0 0
29 0.955811853839 48.2 34.0412385238 48.2 0 0 0 0 0
30 0.954175255833 48.2 34.0412385238 48.2 0 0 0 0 0
31 0.952538657827 0.302 34.0412385238 0.002 0.3 0 0 0 0
32 0.950902059821 0.302 0.195129059714 0.002 0.3 0 0 0 0
33 0.950892678617 0.302 0.195129059714 0.002 0.3 0 0 0 0
34 0.950883297412 0.302 0.195129059714 0.002 0.3 0 0 0 0
35 0.950873916207 0.302 0.195129059714 0.002 0.3 0 0 0 0
36 0.950864535002 0.302 0.195129059714 0.002 0.3 0 0 0 0
37 0.950855153797 18.004 0.195129059714 0.002 0.002 18 0 0 0
38 0.950845772593 18.004 12.7625212 0.002 0.002 18 0 0 0
39 0.950232189843 18.004 12.7625212 0.002 0.002 18 0 0 0
40 0.949618607093 18.004 12.7625212 0.002 0.002 18 0 0 0
41 0.949005024343 18.004 12.7625212 0.002 0.002 18 0 0 0
42 0.948391441593 18.004 12.7625212 0.002 0.002 18 0 0 0
43 0.947777858843 18.004 12.7625212 0.002 0.002 18 0 0 0
44 0.947164276093 18.004 12.7625212 0.002 0.002 18 0 0 0
45 0.946550693343 18.004 12.7625212 0.002 0.002 18 0 0 0
46 0.945937110593 18.004 12.7625212 0.002 0.002 18 0 0 0
47 0.945323527843 18.004 12.7625212 0.002 0.002 18 0 0 0
48 0.944709945093 18.004 12.7625212 0.002 0.002 18 0 0 0
49 0.944096362343 18.004 12.7625212 0.002 0.002 18 0 0 0
50 0.943482779593 18.004 12.7625212 0.002 0.002 18 0 0 0
51 0.942869196843 18.004 12.7625212 0.002 0.002 18 0 0 0
52 0.942255614093 18.004 12.7625212 0.002 0.002 18 0 0 0
53 0.941642031343 18.004 12.7625212 0.002 0.002 18 0 0 0
54 0.941028448593 18.004 12.7625212 0.002 0.002 18 0 0 0
55 0.940414865843 18.004 12.7625212 0.002 0.002 18 0 0 0
56 0.939801283093 18.004 12.7625212 0.002 0.002 18 0 0 0
57 0.939187700343 18.004 12.7625212 0.002 0.002 18 0 0 0
58 0.938574117593 18.004 12.7625212 0.002 0.002 18 0 0 0
59 0.937960534843 18.004 12.7625212 0.002 0.002 18 0 0 0
60 0.937346952093 18.004 12.7625212 0.002 0.002 18 0 0 0
61 0.936733369343 18.004 12.7625212 0.002 0.002 18 0 0 0
62 0.936119786593 18.004 12.7625212 0.002 0.002 18 0 0 0
63 0.935506203843 18.004 12.7625212 0.002 0.002 18 0 0 0
64 0.934892621093 18.004 12.7625212 0.002 0.002 18 0 0 0
65 0.934279038343 18.004 12.7625212 0.002 0.002 18 0 0 0
66 0.933665455593 18.004 12.7625212 0.002 0.002 18 0 0 0
67 0.933051872843 0.156 12.7625212 0.002 0.002 0.002 0.15 0 0
68 0.932438290093 0.156 0.0936239794286 0.002 0.002 0.002 0.15 0 0
69 0.93243378894 0.156 0.0936239794286 0.002 0.002 0.002 0.15 0 0
70 0.932429287787 0.156 0.0936239794286 0.002 0.002 0.002 0.15 0 0
71 0.932424786634 0.156 0.0936239794286 0.002 0.002 0.002 0.15 0 0
72 0.932420285481 0.156 0.0936239794286 0.002 0.002 0.002 0.15 0 0
73 0.932415784328 0.156 0.0936239794286 0.002 0.002 0.002 0.15 0 0
74 0.932411283176 0.156 0.0936239794286 0.002 0.002 0.002 0.15 0 0
