%time Master_Adderess Master_Data Bus_Data
0 101 1 0
30 201 1 1
36 301 1 1
66 401 1 1
84 501 1 1
120 101 1 1
150 201 1 1
156 301 1 1
186 401 1 1
204 501 1 1
240 101 1 1
270 201 1 1
276 301 1 1
306 401 1 1
324 501 1 1
360 101 1 1
390 201 1 1
396 301 1 1
426 401 1 1
444 501 1 1
480 101 1 1
510 201 1 1
516 301 1 1
546 401 1 1
564 501 1 1
600 101 1 1
630 201 1 1
636 301 1 1
666 401 1 1
684 501 1 1
720 101 1 1
750 201 1 1
756 301 1 1
786 401 1 1
804 501 1 1
840 101 1 1
870 201 1 1
876 301 1 1
906 401 1 1
924 501 1 1
960 101 1 1
990 201 1 1
996 301 1 1
1026 401 1 1
1044 501 1 1
1080 101 1 1
1110 201 1 1
1116 301 1 1
1146 401 1 1
1164 501 1 1
1200 101 1 1
1230 201 1 1
1236 301 1 1
1266 401 1 1
1284 501 1 1
1320 101 1 1
1350 201 1 1
1356 301 1 1
1386 401 1 1
1404 501 1 1
1440 101 1 1
1470 201 1 1
1476 301 1 1
1506 401 1 1
1524 501 1 1
1560 101 1 1
1590 201 1 1
1596 301 1 1
1626 401 1 1
1644 501 1 1
1680 101 1 1
1710 201 1 1
1716 301 1 1
1746 401 1 1
1764 501 1 1
1800 101 1 1
1830 201 1 1
1836 301 1 1
1866 401 1 1
1884 501 1 1
1920 101 1 1
1950 201 1 1
1956 301 1 1
1986 401 1 1
2004 501 1 1
2040 101 1 1
2070 201 1 1
2076 301 1 1
2106 401 1 1
2124 501 1 1
2160 101 1 1
2190 201 1 1
2196 301 1 1
2226 401 1 1
2244 501 1 1
2280 101 1 1
2310 201 1 1
2316 301 1 1
2346 401 1 1
2364 501 1 1
2400 101 1 1
2430 201 1 1
2436 301 1 1
2466 401 1 1
2484 501 1 1
2520 101 1 1
2550 201 1 1
2556 301 1 1
2586 401 1 1
2604 501 1 1
2640 101 1 1
2670 201 1 1
2676 301 1 1
2706 401 1 1
2724 501 1 1
2760 101 1 1
2790 201 1 1
2796 301 1 1
2826 401 1 1
2844 501 1 1
2880 101 1 1
2910 201 1 1
2916 301 1 1
2946 401 1 1
2964 501 1 1
3000 101 1 1
3030 201 1 1
3036 301 1 1
3066 401 1 1
3084 501 1 1
3120 101 1 1
3150 201 1 1
3156 301 1 1
3186 401 1 1
3204 501 1 1
3240 101 1 1
3270 201 1 1
3276 301 1 1
3306 401 1 1
3324 501 1 1
3360 101 1 1
3390 201 1 1
3396 301 1 1
3426 401 1 1
3444 501 1 1
3480 101 1 1
3510 201 1 1
3516 301 1 1
3546 401 1 1
3564 501 1 1
3600 101 1 1
3630 201 1 1
3636 301 1 1
3666 401 1 1
3684 501 1 1
3720 101 1 1
3750 201 1 1
3756 301 1 1
3786 401 1 1
3804 501 1 1
3840 101 1 1
3870 201 1 1
3876 301 1 1
3906 401 1 1
3924 501 1 1
3960 101 1 1
3990 201 1 1
3996 301 1 1
4026 401 1 1
4044 501 1 1
4080 101 1 1
4110 201 1 1
4116 301 1 1
4146 401 1 1
4164 501 1 1
4200 101 1 1
4230 201 1 1
4236 301 1 1
4266 401 1 1
4284 501 1 1
4320 101 1 1
4350 201 1 1
4356 301 1 1
4386 401 1 1
4404 501 1 1
4440 101 1 1
4470 201 1 1
4476 301 1 1
4506 401 1 1
4524 501 1 1
4560 101 1 1
4590 201 1 1
4596 301 1 1
4626 401 1 1
4644 501 1 1
4680 101 1 1
4710 201 1 1
4716 301 1 1
4746 401 1 1
4764 501 1 1
4800 101 1 1
4830 201 1 1
4836 301 1 1
4866 401 1 1
4884 501 1 1
4920 101 1 1
4950 201 1 1
4956 301 1 1
4986 401 1 1
5004 501 1 1
5040 101 1 1
5070 201 1 1
5076 301 1 1
5106 401 1 1
5124 501 1 1
5160 101 1 1
5190 201 1 1
5196 301 1 1
5226 401 1 1
5244 501 1 1
5280 101 1 1
5310 201 1 1
5316 301 1 1
5346 401 1 1
5364 501 1 1
5400 101 1 1
5430 201 1 1
5436 301 1 1
5466 401 1 1
5484 501 1 1
5520 101 1 1
5550 201 1 1
5556 301 1 1
5586 401 1 1
5604 501 1 1
5640 101 1 1
5670 201 1 1
5676 301 1 1
5706 401 1 1
5724 501 1 1
5760 101 1 1
5790 201 1 1
5796 301 1 1
5826 401 1 1
5844 501 1 1
5880 101 1 1
5910 201 1 1
5916 301 1 1
5946 401 1 1
5964 501 1 1
6000 101 1 1
6030 201 1 1
6036 301 1 1
6066 401 1 1
6084 501 1 1
6120 101 1 1
6150 201 1 1
6156 301 1 1
6186 401 1 1
6204 501 1 1
6240 101 1 1
6270 201 1 1
6276 301 1 1
6306 401 1 1
6324 501 1 1
6360 101 1 1
6390 201 1 1
6396 301 1 1
6426 401 1 1
6444 501 1 1
6480 101 1 1
6510 201 1 1
6516 301 1 1
6546 401 1 1
6564 501 1 1
6600 101 1 1
6630 201 1 1
6636 301 1 1
6666 401 1 1
6684 501 1 1
6720 101 1 1
6750 201 1 1
6756 301 1 1
6786 401 1 1
6804 501 1 1
6840 101 1 1
6870 201 1 1
6876 301 1 1
6906 401 1 1
6924 501 1 1
6960 101 1 1
6990 201 1 1
6996 301 1 1
7026 401 1 1
7044 501 1 1
7080 101 1 1
7110 201 1 1
7116 301 1 1
7146 401 1 1
7164 501 1 1
7200 101 1 1
7230 201 1 1
7236 301 1 1
7266 401 1 1
7284 501 1 1
7320 101 1 1
7350 201 1 1
7356 301 1 1
7386 401 1 1
7404 501 1 1
7440 101 1 1
7470 201 1 1
7476 301 1 1
7506 401 1 1
7524 501 1 1
7560 101 1 1
7590 201 1 1
7596 301 1 1
7626 401 1 1
7644 501 1 1
7680 101 1 1
7710 201 1 1
7716 301 1 1
7746 401 1 1
7764 501 1 1
7800 101 1 1
7830 201 1 1
7836 301 1 1
7866 401 1 1
7884 501 1 1
7920 101 1 1
7950 201 1 1
7956 301 1 1
