%time core_I mic_click_I mic_click_I battery
0 0 0 0 0
0.001 0.304290711944498 0 0 1
0.002 0.288522219452037 0 0 1
0.003 0.292337880279285 0.12 0 1
0.004 0.243444444444444 0.12 0 0.99999999943354
0.005 0.243444444444444 0.12 0 0.999999997967133
0.006 0.243444444444444 0.12 0 0.999999996160059
0.007 0.243444444444444 0.12 0 0.99999999443801
0.008 0.243444444444444 0.12 0 0.999999992808156
0.009 0.243444444444444 0.12 0 0.999999991178297
0.01 0.243444444444444 0.12 0 0.999999989548437
0.011 0.243444444444444 0.12 0 0.999999987918577
0.012 0.243444444444444 0.12 0 0.999999986288718
0.013 0.243444444444444 0.12 0 0.999999984658858
0.014 0.243444444444444 0.12 0 0.999999983028999
0.015 0.243444444444444 0.12 0 0.999999981399139
0.016 0.243444444444444 0.12 0 0.999999979769279
0.017 0.243444444444444 0.12 0 0.99999997813942
0.018 0.243444444444444 0.12 0 0.99999997650956
0.019 0.243444444444444 0.12 0 0.999999974879701
0.02 0.243444444444444 0.12 0 0.999999973249841
0.021 0.243444444444444 0.12 0 0.999999971619982
0.022 0.243444444444444 0.12 0 0.999999969990122
0.023 0.243444444444444 0.12 0 0.999999968360263
0.024 0.243444444444444 0.12 0 0.999999966730403
0.025 0.243444444444444 0.12 0 0.999999965100544
0.026 0.243444444444444 0.12 0 0.999999963470684
0.027 0.243444444444444 0.12 0 0.999999961840825
0.028 0.243444444444444 0.12 0 0.999999960210965
0.029 0.243444444444444 0.12 0 0.999999958581106
0.03 0.243444444444444 0.12 0 0.999999956951246
0.031 0.243444444444444 0.12 0 0.999999955321387
0.032 0.243444444444444 0.12 0 0.999999953691527
0.033 0.290213834324576 0.0019999999999999 0.16 0.999999952061668
0.034 0.243444444444444 0.002 0.16 0.999999950431809
0.035 0.243444444444444 0.002 0.16 0.999999948674456
0.036 0.243444444444444 0.002 0.16 0.999999946701181
0.037 0.243444444444444 0.002 0.16 0.999999944727922
0.038 0.243444444444444 0.002 0.16 0.999999942843102
0.039 0.243444444444444 0.002 0.16 0.999999940958275
0.04 0.243444444444444 0.002 0.16 0.999999939073448
0.041 0.243444444444444 0.002 0.16 0.999999937188622
0.042 0.243444444444444 0.002 0.16 0.999999935303795
0.043 0.243444444444444 0.002 0.16 0.999999933418969
0.044 0.243444444444444 0.002 0.16 0.999999931534142
0.045 0.243444444444444 0.002 0.16 0.999999929649315
0.046 0.243444444444444 0.002 0.16 0.999999927764489
0.047 0.243444444444444 0.002 0.16 0.999999925879662
0.048 0.243444444444444 0.002 0.16 0.999999923994835
0.049 0.243444444444444 0.002 0.16 0.999999922110009
0.05 0.243444444444444 0.002 0.16 0.999999920225182
0.051 0.243444444444444 0.002 0.16 0.999999918340356
0.052 0.243444444444444 0.002 0.16 0.999999916455529
0.053 0.243444444444444 0.002 0.16 0.999999914570702
0.054 0.243444444444444 0.002 0.16 0.999999912685876
0.055 0.243444444444444 0.002 0.16 0.999999910801049
0.056 0.243444444444444 0.002 0.16 0.999999908916222
0.057 0.243444444444444 0.002 0.16 0.999999907031396
0.058 0.243444444444444 0.002 0.16 0.999999905146569
0.059 0.243444444444444 0.002 0.16 0.999999903261742
0.06 0.243444444444444 0.002 0.16 0.999999901376916
0.061 0.243444444444444 0.002 0.16 0.999999899492089
0.062 0.243444444444444 0.002 0.16 0.999999897607263
0.063 0.286783216846215 0.002 0.00200000000000097 0.999999895722436
0.064 0.284989574448044 0.12 0.002 0.999999893837609
0.065 0.243444444444444 0.12 0.002 0.999999892430541
0.066 0.243444444444444 0.12 0.002 0.99999989106314
0.067 0.243444444444444 0.12 0.002 0.999999889261063
